PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
S. No	Incident Location	District	State	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
21	Talegaon phata	Pune	Maharashtra	March 27, 2020	1	Lathicharge, Lockdown	Hindustan Times	March 28, 2020	https://www.hindustantimes.com/cities/covid-19-probe-ordered-into-ambulance-driver-s-death-after-assault-by-policeman/story-45pj0d8MHMh4uudCnribWP.html
22	Madhaul	Sitamarhi	Bihar	March 31, 2020	1	Assault, Migration, Hate Crime	India Today	March 31, 2020	https://www.indiatoday.in/india/story/covid-19-migrants-kill-resident-in-bihar-village-for-informing-officials-about-their-arrival-1661626-2020-03-31
23	Kasargod	Kasargod	Kerala	March 30, 2020	2	Medical Emergency, Road Blocked	Twitter, Journalist from New Indian Express 	March 31, 2020	https://twitter.com/george_TNIE/status/1244659252897017857
24	Hospet	Bellary	Karnataka	March 31, 2020	2	Starvation, Lockdown	Prajaavani	March 31, 2020	https://www.prajavani.net/district/bellary/hosapete-hunger-death-lockdown-coronavirus-716425.html
25	Jaipur	Jaipur	Rajasthan	March 29, 2020	1	Walking, exhaustion, got sick	Beyond Headlines, Amar Ujala	March 30, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
26	Datia	Datiya	Madhya Pradesh	March 26, 2020	1	Left untreated by doctor due to lockdown	Beyond Headlines, Amar Ujala	March 28, 2020	https://www.amarujala.com/madhya-pradesh/madhya-pradesh-datia-worker-did-not-get-treatment-in-lockdown-dies-in-home
27	Sonabarighat village	Silchar, Cachar	Assam	March 28, 2020	1	Died under mysterious circumstances	News18	March 28, 2020	https://www.news18.com/news/india/assam-constable-dies-in-market-family-claims-lynched-sp-differs-2555291.html
28	Lad-Chincholi village	Aland Taluk	Karnataka	March 30, 2020	1	Farmer suicide, lockdown	Indian Express	April 01, 2020	https://www.newindianexpress.com/states/karnataka/2020/apr/01/supply-chain-breaks-farmers-in-distress-2124166.html
29	Fariya Pipariya	Lakhimpur Kheri	Uttar Pradesh	April 01, 2020	1	Suicide, Police brutality, Lockdown	National Herald	April 02, 2020	https://www.nationalheraldindia.com/india/uttar-pradesh-dalit-youth-kills-self-after-being-tortured-by-police-for-breaking-quarantine-rule
30	Zakir colony	Meerut	Uttar Pradesh	March 27, 2020	1	Suicide, Lockdown	Janwani	March 28, 2020	http://janwani.in/epaper_1_3_71_2020-3-28_a.html
31	Bachupally	Hyderabad	Andhra Pradesh	March 31, 2020	1	Starvation, Lockdown	New Indian Express	April 01, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
32	Secunderabad	Secunderabad	Telangana 	April 01, 2020	1	Exhaustion, Migration	NDTV	April 02, 2020	https://www.ndtv.com/india-news/coronavirus-covid-19-lockdown-tamil-nadu-mans-500-km-walk-amid-lockdown-becomes-his-last-2205155
33	Mountainous peak over Jawahar Tunnel	between Anantnag and Ramban	Jammu and Kashmir	March 31, 2020	3	Buried under snow, Roadblock, Migration	The Indian Express	April 02, 2020	https://indianexpress.com/article/india/jammu-and-kashmir-tunnel-blocked-migrants-die-of-cold-on-mountain-route/
34	Pakbada Ilaka	Moradabad	Uttar Pradesh	March 28, 2020	1	Road accident, Migration	Wire (Hindi)	March 30, 2020	http://thewirehindi.com/115435/coronavirus-lockdown-factory-worker-died-on-the-way-to-home/
35	Gwalior	Gwalior	Madhya Pradesh	March 30, 2020	1	Walking, Road Accident	Nai Dunia (Hindi)	March 31, 2020	https://www.naidunia.com/madhya-pradesh/gwalior-he-5444895
36	Rampur	Rampur	Uttar Pradesh	March 29, 2020	1	Lockdown, road accident 	Beyond Headlines, Amar Ujala	March 29, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
37	Highway, near Delhi Gate Police station	Aligarh	Uttar Pradesh	March 26, 2020	1	Lockdown, road accident 	Jagran	March 28, 2020	https://www.jagran.com/uttar-pradesh/hathras-an-unknown-vehicle-was-thrashed-the-laborer-coming-from-noida-outraged-by-death-20145590.html
38	Deograh	Deograh	Orissa	March 27, 2020	1	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
39	Bridge on the Daman-Ganga river between Vapi and Karambeli railway station	Vapi	Gujarat	March 28, 2020	2	Road accident, Migration	Times of India	March 29, 2020	https://timesofindia.indiatimes.com/city/surat/speeding-goods-train-kills-two-women-labourers-at-vapi/articleshow/74867702.cms
40	Kushalgarh	Kushalgarh	Rajasthan	March 27, 2020	1	Road accident, Migration	Nai Dunia (Hindi)	March 27, 2020	https://www.naidunia.com/madhya-pradesh/jhabua-jhabua-news-5434877
41	Panchgaon Chowk, Manesar	Gurgaon	Haryana	March 28, 2020	5	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
42	Kundli–Manesar–Palwal (KMP) Expressway	Gurgaon	Haryana	March 26, 2020	1	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
43		Sonipat	Haryana	March 31, 2020	1	Road accident, Migration	Beyong Headline	March 31, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
44	Chodavaram Block	Visakhapatnam	Andhra Pradesh	March 31, 2020	1	Death by waiting in the sun	Twitter	March 31, 2020	https://twitter.com/samalochana/status/1244559699208355840
45	Uniara	Tonk	Rajasthan	March 28, 2020	1	Health deterioration, Migration	Patrika	March 30, 2020	https://www.patrika.com/tonk-news/worker-s-death-in-uniyara-in-lockdown-5946289/
46	 Gorantla	Anantapur	Andhra Pradesh	March 25, 2020	1	Medical Emergency, access to care denied, Lockdown	Loksatta (Marathi)	March 31, 2020	https://www.loksatta.com/desh-videsh-news/coronavirus-amid-lockdown-andhra-man-walks-for-88-km-with-5-year-old-sons-body-to-reach-nearest-crematorium-scsg-91-2120219/
47	Sikandra Rao	Hathras	Uttar Pradesh	March 29, 2020	1	Had cancer, travelled by moped with family, lockdown caused loss of livelihood	Beyond headlines, Jagran	March 29, 2020	https://www.jagran.com/uttar-pradesh/sidharth-nagar-death-to-cancer-20149641.html
48	Kannuaj 	Kannauj	Uttar Pradesh	March 29, 2020	1	Lost balance of the bike and hit divider while going home 	Pioneer	March 30, 2020	https://www.dailypioneer.com/2020/state-editions/migrant-workers-die-in-mishap.html
49	Panchmala	Gujarat	Gujarat	April 01, 2020	1	Stray dog snatched a newborn, no staff around	Deccan Herald	April 01, 2020	https://www.deccanherald.com/amp/national/west/gujarat-stray-dog-takes-away-new-born-from-govt-hospital-kills-820196.html
50	Agra	Agra	Uttar Pradesh	March 31, 2020	1	Suicide, asked to leave after lockdown	Telegraph	April 01, 2020	https://www.telegraphindia.com/india/shillong-boy-found-dead-atop-agra-eatery/cid/1760954
51	Dundigal	Hyderbad	Andhra Pradesh	March 31, 2020	1	Withdrawal	New Indian Express	April 01, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
52	Malkajgiri	Hyderbad	Andhra Pradesh	March 31, 2020	1	Withdrawal	New Indian Express	April 01, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
53	Lallaguda	Secunderabad	Andhra Pradesh	March 31, 2020	1	Withdrawal	New Indian Express	April 01, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
54	Pudukkottai	Pudukkottai	Tamil Nadu	March 27, 2020	1	Unclear - financial issues (not connected to COVID directly) or isolation	New Indian Express	March 28, 2020	https://www.newindianexpress.com/states/tamil-nadu/2020/mar/28/wrongly-quarantined-by-family-man-ends-life-2122443.amp?__twitter_impression=true
55		Tangapani	Chhattisgarh	March 30, 2020	1	Suicide, Home Qurantine	TimesOfIndia	March 30, 2020	https://m.timesofindia.com/city/raipur/chhattisgarh-covid-19-suspect-under-home-quarantine-commits-suicide-in-dhamtari/amp_articleshow/74899263.cms
56	Shiye	Kolhapur	Maharashtra	March 26, 2020	1	Suicide, fear of lockdown	loksatta (marathi)	March 28, 2020	https://www.loksatta.com/kolhapur-news/coronavirus-fear-old-women-commits-suicide-in-kolhapur-nck-90-2118295/
57	Hosur	Hubballi	Karnataka	March 29, 2020	1	Suicide, Withdrawal symptom, Lockdown	Public TV	March 29, 2020	https://publictv.in/corona-virus-police-alcohol-bidar-mangaluru/amp
58	Kadaba	Dakshina Kannada	Karnataka	March 29, 2020	2	Suicide, Withdrawal symptom, Lockdown	Public TV	March 29, 2020	https://publictv.in/corona-virus-police-alcohol-bidar-mangaluru/amp
59	Bhalki	Bidar	Karnataka	March 29, 2020	1	Suicide, Withdrawal symptom, Lockdown	Public TV	March 29, 2020	https://publictv.in/corona-virus-police-alcohol-bidar-mangaluru/amp
60	Thrissur	Thrissur	Kerala	March 27, 2020	1	Suicide, Withdrawal symptom, Lockdown	News18	March 29, 2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
61	Kochi	Kochi	Kerala	March 27, 2020	1	Suicide, Withdrawal symptom, Lockdown	News18	March 29, 2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
62	Kollam	Kollam	Kerala	March 28, 2020	2	Suicide, Withdrawal symptom, Lockdown	News18	March 29, 2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
63	Kannur	Kannur	Kerala	March 28, 2020	1	Suicide, Withdrawal symptom, Lockdown	News18	March 29, 2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
64	Kochi	Kochi	Kerala	March 28, 2020	1	Suicide, Withdrawal symptom, Lockdown	News18	March 29, 2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
65		Thiruvananthapuram	Kerala	March 29, 2020	1	Suicide, Withdrawal symptom, Lockdown	News18	March 29, 2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
66	Dundigal	Hyderbad	Andhra Pradesh	March 31, 2020	1	Death, Withdrawal	New Indian Express	April 01, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
67	Malkajgiri	Hyderbad	Andhra Pradesh	March 31, 2020	1	Death, Withdrawal	New Indian Express	April 01, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
68	Lallaguda	Secunderabad	Andhra Pradesh	March 31, 2020	1	Death, Withdrawal	New Indian Express	April 01, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
