PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
S. No	Incident Location	District	State	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
20	Assam	Assam	Assam	March 29, 2020	1	Sick child, Road Blocked, Lockdown	Twitter	March 29,2020	https://twitter.com/i_theindian/status/1244227668200968199
21	Thrissur	Thrissur	Kerala	March 27,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
22	Kochi	Kochi	Kerala	March 27,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
23	Kollam	Kollam	Kerala	March 28,2020	2	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
24	Kannur	Kannur	Kerala	March 28,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
25	Kochi	Kochi	Kerala	March 28,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
26	Thiruvananthapuram	Thiruvananthapuram	Kerala	March 29,2020	1	Suicide, Lockdown	News18	March 29,2020	https://www.news18.com/news/india/a-different-sort-of-tragedy-strikes-kerala-during-covid-19-lockdown-due-to-non-availability-of-alcohol-2556049.html
27	Arrah’s Jawahar Tola’s slum area	Bhojpur	Bihar	March 30,2020	1	Starvation, Lockdown	TheWire	March 30,2020	https://thewire.in/rights/bihar-starvation-deaths-lockdown
