SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
25,Yelahanka,1,Kempegowda Ward,25-07-2020,1,Y-A-779,07-08-2020,ACTIVE
26,Yelahanka,1,Kempegowda Ward,25-07-2020,7,Y-A-780,07-08-2020,ACTIVE
27,Yelahanka,1,Kempegowda Ward,25-07-2020,1,Y-A-781,07-08-2020,ACTIVE
28,Yelahanka,1,Kempegowda Ward,26-07-2020,1,Y-A-829,08-08-2020,ACTIVE
29,Yelahanka,1,Kempegowda Ward,26-07-2020,1,Y-A-830,08-08-2020,ACTIVE
30,Yelahanka,1,Kempegowda Ward,26-07-2020,1,Y-A-831,08-08-2020,ACTIVE
31,Yelahanka,1,Kempegowda Ward,27-07-2020,1,Y-A-878,09-08-2020,ACTIVE
32,Yelahanka,1,Kempegowda Ward,27-07-2020,1,Y-A-879,09-08-2020,ACTIVE
33,Yelahanka,1,Kempegowda Ward,27-07-2020,1,Y-A-880,09-08-2020,ACTIVE
34,Yelahanka,1,Kempegowda Ward,28-07-2020,1,Y-A-927,10-08-2020,ACTIVE
35,Yelahanka,1,Kempegowda Ward,28-07-2020,1,Y-A-928,10-08-2020,ACTIVE
36,Yelahanka,1,Kempegowda Ward,28-07-2020,1,Y-A-929,10-08-2020,ACTIVE
37,Yelahanka,1,Kempegowda Ward,28-07-2020,2,Y-A-930,10-08-2020,ACTIVE
38,Yelahanka,1,Kempegowda Ward,28-07-2020,1,Y-A-931,10-08-2020,ACTIVE
39,Yelahanka,1,Kempegowda Ward,28-07-2020,1,Y-A-932,10-08-2020,ACTIVE
40,Yelahanka,1,Kempegowda Ward,28-07-2020,4,Y-A-934,10-08-2020,ACTIVE
41,Yelahanka,1,Kempegowda Ward,29-07-2020,1,Y-A-973,11-08-2020,ACTIVE
42,Yelahanka,1,Kempegowda Ward,29-07-2020,2,Y-A-974,11-08-2020,ACTIVE
43,Yelahanka,1,Kempegowda Ward,29-07-2020,1,Y-A-975,11-08-2020,ACTIVE
44,Yelahanka,1,Kempegowda Ward,01-08-2020,1,Y-AP-1140,14-08-2020,ACTIVE
45,Yelahanka,1,Kempegowda Ward,21-07-2020,1,Y-AP-600,03-08-2020,ACTIVE
46,Yelahanka,1,Kempegowda Ward,21-07-2020,1,Y-AP-602,03-08-2020,ACTIVE
47,Yelahanka,1,Kempegowda Ward,22-07-2020,2,Y-AP-639,04-08-2020,ACTIVE
48,Yelahanka,1,Kempegowda Ward,28-07-2020,1,Y-AP-933,10-08-2020,ACTIVE
49,Yelahanka,1,Kempegowda Ward,03-08-2020,1,Y-A-1231,16-08-2020,ACTIVE
50,Yelahanka,1,Kempegowda Ward,03-08-2020,2,Y-A-1232,16-08-2020,ACTIVE
51,Yelahanka,1,Kempegowda Ward,03-08-2020,1,Y-A-1233,17-08-2020,ACTIVE
52,Yelahanka,1,Kempegowda Ward,04-08-2020,1,Y-A-1290,17-08-2020,ACTIVE
53,Yelahanka,1,Kempegowda Ward,04-08-2020,1,Y-A-1291,17-08-2020,ACTIVE
54,Yelahanka,1,Kempegowda Ward,04-08-2020,1,Y-A-1292,17-08-2020,ACTIVE
55,Yelahanka,1,Kempegowda Ward,04-08-2020,1,Y-A-1293,17-08-2020,ACTIVE
56,Yelahanka,2,Chowdeswari Ward,30-07-2020,3,Y-A-1041,12-08-2020,ACTIVE
57,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1091,13-08-2020,ACTIVE
58,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1092,13-08-2020,ACTIVE
59,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1093,13-08-2020,ACTIVE
60,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1094,13-08-2020,ACTIVE
61,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1095,13-08-2020,ACTIVE
62,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1096,13-08-2020,ACTIVE
63,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1097,13-08-2020,ACTIVE
64,Yelahanka,2,Chowdeswari Ward,31-07-2020,1,Y-A-1098,13-08-2020,ACTIVE
65,Yelahanka,2,Chowdeswari Ward,01-08-2020,1,Y-A-1143,14-08-2020,ACTIVE
66,Yelahanka,2,Chowdeswari Ward,01-08-2020,2,Y-A-1144,14-08-2020,ACTIVE
67,Yelahanka,2,Chowdeswari Ward,01-08-2020,1,Y-A-1145,14-08-2020,ACTIVE
68,Yelahanka,2,Chowdeswari Ward,01-08-2020,1,Y-A-1146,14-08-2020,ACTIVE
69,Yelahanka,2,Chowdeswari Ward,02-08-2020,1,Y-A-1194,15-08-2020,ACTIVE
70,Yelahanka,2,Chowdeswari Ward,21-07-2020,1,Y-A-605,03-08-2020,ACTIVE
71,Yelahanka,2,Chowdeswari Ward,22-07-2020,1,Y-A-644,04-08-2020,ACTIVE
72,Yelahanka,2,Chowdeswari Ward,22-07-2020,1,Y-A-645,04-08-2020,EXTENDED
73,Yelahanka,2,Chowdeswari Ward,23-07-2020,1,Y-A-688,05-08-2020,EXTENDED
74,Yelahanka,2,Chowdeswari Ward,23-07-2020,1,Y-A-689,05-08-2020,ACTIVE
75,Yelahanka,2,Chowdeswari Ward,23-07-2020,1,Y-A-690,05-08-2020,ACTIVE
76,Yelahanka,2,Chowdeswari Ward,23-07-2020,2,Y-A-691,05-08-2020,EXTENDED
77,Yelahanka,2,Chowdeswari Ward,24-07-2020,3,Y-A-729,06-08-2020,EXTENDED
78,Yelahanka,2,Chowdeswari Ward,24-07-2020,3,Y-A-730,06-08-2020,ACTIVE
79,Yelahanka,2,Chowdeswari Ward,24-07-2020,1,Y-A-731,06-08-2020,EXTENDED
