SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
3280,West,64,Rajamahal Guttahalli,02-08-2020,1,W-A-4039,15-08-2020,ACTIVE
3281,West,64,Rajamahal Guttahalli,02-08-2020,1,W-A-4040,15-08-2020,ACTIVE
3282,West,65,Kadu Malleshwar Ward,18-07-2020,1,W-A-1744,01-08-2020,ACTIVE
3283,West,65,Kadu Malleshwar Ward,18-07-2020,2,W-A-1745,01-08-2020,ACTIVE
3284,West,65,Kadu Malleshwar Ward,20-07-2020,1,W-A-1947,03-08-2020,ACTIVE
3285,West,65,Kadu Malleshwar Ward,20-07-2020,1,W-A-1948,03-08-2020,ACTIVE
3286,West,65,Kadu Malleshwar Ward,22-07-2020,1,W-A-2161,05-08-2020,ACTIVE
3287,West,65,Kadu Malleshwar Ward,22-07-2020,1,W-A-2162,05-08-2020,ACTIVE
3288,West,65,Kadu Malleshwar Ward,22-07-2020,1,W-A-2163,05-08-2020,ACTIVE
3289,West,65,Kadu Malleshwar Ward,22-07-2020,1,W-A-2164,05-08-2020,ACTIVE
3290,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2316,06-08-2020,ACTIVE
3291,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2317,06-08-2020,ACTIVE
3292,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2318,06-08-2020,ACTIVE
3293,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2319,06-08-2020,ACTIVE
3294,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2320,06-08-2020,ACTIVE
3295,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2321,06-08-2020,ACTIVE
3296,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2322,06-08-2020,ACTIVE
3297,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2323,06-08-2020,ACTIVE
3298,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2324,06-08-2020,ACTIVE
3299,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2325,06-08-2020,ACTIVE
3300,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-A-2326,06-08-2020,ACTIVE
3301,West,65,Kadu Malleshwar Ward,25-07-2020,1,W-A-2608,08-08-2020,ACTIVE
3302,West,65,Kadu Malleshwar Ward,25-07-2020,1,W-A-2609,08-08-2020,ACTIVE
3303,West,65,Kadu Malleshwar Ward,25-07-2020,1,W-A-2610,08-08-2020,ACTIVE
3304,West,65,Kadu Malleshwar Ward,25-07-2020,2,W-A-2611,08-08-2020,ACTIVE
3305,West,65,Kadu Malleshwar Ward,25-07-2020,1,W-A-2612,08-08-2020,ACTIVE
3306,West,65,Kadu Malleshwar Ward,25-07-2020,1,W-A-2613,08-08-2020,ACTIVE
3307,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2737,09-08-2020,ACTIVE
3308,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2738,09-08-2020,ACTIVE
3309,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2739,09-08-2020,ACTIVE
3310,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2740,09-08-2020,ACTIVE
3311,West,65,Kadu Malleshwar Ward,26-07-2020,3,W-A-2741,09-08-2020,ACTIVE
3312,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2742,09-08-2020,ACTIVE
3313,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2743,09-08-2020,ACTIVE
3314,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2744,09-08-2020,ACTIVE
3315,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2745,09-08-2020,ACTIVE
3316,West,65,Kadu Malleshwar Ward,26-07-2020,1,W-A-2746,09-08-2020,ACTIVE
3317,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2850,09-08-2020,ACTIVE
3318,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2851,09-08-2020,ACTIVE
3319,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2852,09-08-2020,ACTIVE
3320,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2853,09-08-2020,ACTIVE
3321,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2854,09-08-2020,ACTIVE
3322,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2855,09-08-2020,ACTIVE
3323,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2856,09-08-2020,ACTIVE
3324,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2857,09-08-2020,ACTIVE
3325,West,65,Kadu Malleshwar Ward,27-07-2020,2,W-A-2858,09-08-2020,ACTIVE
3326,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2859,09-08-2020,ACTIVE
3327,West,65,Kadu Malleshwar Ward,27-07-2020,1,W-A-2860,09-08-2020,ACTIVE
3328,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3040,10-08-2020,ACTIVE
3329,West,65,Kadu Malleshwar Ward,28-07-2020,2,W-A-3041,10-08-2020,ACTIVE
3330,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3042,10-08-2020,ACTIVE
3331,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3043,10-08-2020,ACTIVE
3332,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3044,10-08-2020,ACTIVE
3333,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3045,10-08-2020,ACTIVE
3334,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3046,10-08-2020,ACTIVE
3335,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3047,10-08-2020,ACTIVE
3336,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3048,10-08-2020,ACTIVE
3337,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3049,10-08-2020,ACTIVE
3338,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3050,10-08-2020,ACTIVE
3339,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-A-3051,10-08-2020,ACTIVE
3340,West,65,Kadu Malleshwar Ward,28-07-2020,2,W-A-3052,10-08-2020,ACTIVE
3341,West,65,Kadu Malleshwar Ward,31-07-2020,1,W-A-3622,13-08-2020,ACTIVE
3342,West,65,Kadu Malleshwar Ward,31-07-2020,1,W-A-3623,13-08-2020,ACTIVE
3343,West,65,Kadu Malleshwar Ward,31-07-2020,1,W-A-3624,13-08-2020,ACTIVE
3344,West,65,Kadu Malleshwar Ward,31-07-2020,1,W-A-3625,13-08-2020,ACTIVE
3345,West,65,Kadu Malleshwar Ward,24-06-2020,1,W-A-4,07-08-2020,ACTIVE
3346,West,65,Kadu Malleshwar Ward,23-07-2020,1,W-AP-135,06-08-2020,ACTIVE
3347,West,65,Kadu Malleshwar Ward,28-07-2020,1,W-AP-155,10-08-2020,ACTIVE
3348,West,65,Kadu Malleshwar Ward,31-07-2020,1,W-AP-166,13-08-2020,ACTIVE
3349,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3798,14-08-2020,ACTIVE
3350,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3799,14-08-2020,ACTIVE
3351,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3800,14-08-2020,ACTIVE
3352,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-AP-174,14-08-2020,ACTIVE
3353,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3801,14-08-2020,ACTIVE
3354,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3802,14-08-2020,ACTIVE
3355,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3803,14-08-2020,ACTIVE
3356,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3804,14-08-2020,ACTIVE
3357,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-AP-175,14-08-2020,ACTIVE
3358,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3805,14-08-2020,ACTIVE
3359,West,65,Kadu Malleshwar Ward,01-08-2020,3,W-A-3806,14-08-2020,ACTIVE
3360,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-A-3807,14-08-2020,ACTIVE
3361,West,65,Kadu Malleshwar Ward,01-08-2020,1,W-AP-176,14-08-2020,ACTIVE
3362,West,65,Kadu Malleshwar Ward,02-08-2020,1,W-A-4044,15-08-2020,ACTIVE
3363,West,65,Kadu Malleshwar Ward,02-08-2020,1,W-A-4045,15-08-2020,ACTIVE
3364,West,65,Kadu Malleshwar Ward,02-08-2020,1,W-A-4046,15-08-2020,ACTIVE
3365,West,65,Kadu Malleshwar Ward,02-08-2020,1,W-A-4047,15-08-2020,ACTIVE
3366,West,66,Subramanya Nagar,18-07-2020,1,W-A-1746,01-08-2020,ACTIVE
3367,West,66,Subramanya Nagar,21-07-2020,1,W-A-2046,04-08-2020,ACTIVE
3368,West,66,Subramanya Nagar,21-07-2020,2,W-A-2047,04-08-2020,ACTIVE
3369,West,66,Subramanya Nagar,23-07-2020,1,W-A-2327,06-08-2020,ACTIVE
3370,West,66,Subramanya Nagar,23-07-2020,1,W-A-2328,06-08-2020,ACTIVE
3371,West,66,Subramanya Nagar,23-07-2020,1,W-A-2329,06-08-2020,ACTIVE
3372,West,66,Subramanya Nagar,23-07-2020,1,W-A-2330,06-08-2020,ACTIVE
3373,West,66,Subramanya Nagar,23-07-2020,2,W-A-2331,06-08-2020,EXTENDED
3374,West,66,Subramanya Nagar,25-07-2020,1,W-A-2614,08-08-2020,ACTIVE
3375,West,66,Subramanya Nagar,25-07-2020,2,W-A-2615,08-08-2020,ACTIVE
3376,West,66,Subramanya Nagar,25-07-2020,1,W-A-2616,08-08-2020,ACTIVE
3377,West,66,Subramanya Nagar,26-07-2020,1,W-A-2747,09-08-2020,ACTIVE
3378,West,66,Subramanya Nagar,26-07-2020,1,W-A-2748,09-08-2020,ACTIVE
3379,West,66,Subramanya Nagar,26-07-2020,1,W-A-2749,09-08-2020,ACTIVE
3380,West,66,Subramanya Nagar,27-07-2020,1,W-A-2861,09-08-2020,ACTIVE
3381,West,66,Subramanya Nagar,28-07-2020,1,W-A-3053,10-08-2020,ACTIVE
3382,West,66,Subramanya Nagar,28-07-2020,1,W-A-3054,10-08-2020,ACTIVE
3383,West,66,Subramanya Nagar,28-07-2020,1,W-A-3055,10-08-2020,ACTIVE
3384,West,66,Subramanya Nagar,31-07-2020,1,W-A-3626,13-08-2020,ACTIVE
3385,West,66,Subramanya Nagar,01-08-2020,1,W-A-3808,14-08-2020,ACTIVE
3386,West,66,Subramanya Nagar,01-08-2020,1,W-A-3809,14-08-2020,ACTIVE
3387,West,66,Subramanya Nagar,01-08-2020,1,W-A-3810,14-08-2020,ACTIVE
3388,West,66,Subramanya Nagar,01-08-2020,2,W-AP-177,14-08-2020,ACTIVE
3389,West,66,Subramanya Nagar,01-08-2020,1,W-A-3811,14-08-2020,ACTIVE
3390,West,66,Subramanya Nagar,01-08-2020,1,W-A-3812,14-08-2020,ACTIVE
3391,West,66,Subramanya Nagar,01-08-2020,1,W-A-3813,14-08-2020,ACTIVE
3392,West,66,Subramanya Nagar,01-08-2020,1,W-A-3814,14-08-2020,ACTIVE
3393,West,66,Subramanya Nagar,01-08-2020,1,W-A-3815,14-08-2020,ACTIVE
3394,West,66,Subramanya Nagar,02-08-2020,1,W-A-4048,15-08-2020,ACTIVE
3395,West,66,Subramanya Nagar,02-08-2020,2,W-A-4049,15-08-2020,ACTIVE
3396,West,66,Subramanya Nagar,02-08-2020,1,W-A-4050,15-08-2020,ACTIVE
3397,West,67,Nagapura,21-07-2020,1,W-A-2048,04-08-2020,ACTIVE
3398,West,67,Nagapura,21-07-2020,1,W-A-2049,04-08-2020,ACTIVE
3399,West,67,Nagapura,22-07-2020,1,W-A-2165,05-08-2020,ACTIVE
3400,West,67,Nagapura,22-07-2020,1,W-A-2166,05-08-2020,ACTIVE
3401,West,67,Nagapura,22-07-2020,2,W-A-2167,05-08-2020,ACTIVE
3402,West,67,Nagapura,22-07-2020,1,W-A-2168,05-08-2020,ACTIVE
3403,West,67,Nagapura,23-07-2020,1,W-A-2332,06-08-2020,ACTIVE
3404,West,67,Nagapura,23-07-2020,1,W-A-2334,06-08-2020,ACTIVE
3405,West,67,Nagapura,25-07-2020,3,W-A-2617,08-08-2020,ACTIVE
3406,West,67,Nagapura,25-07-2020,1,W-A-2618,08-08-2020,ACTIVE
3407,West,67,Nagapura,25-07-2020,1,W-A-2619,08-08-2020,ACTIVE
3408,West,67,Nagapura,26-07-2020,1,W-A-2750,09-08-2020,ACTIVE
3409,West,67,Nagapura,26-07-2020,1,W-A-2751,09-08-2020,ACTIVE
3410,West,67,Nagapura,26-07-2020,1,W-A-2752,09-08-2020,ACTIVE
3411,West,67,Nagapura,26-07-2020,1,W-A-2753,09-08-2020,ACTIVE
3412,West,67,Nagapura,26-07-2020,1,W-A-2754,09-08-2020,ACTIVE
3413,West,67,Nagapura,26-07-2020,1,W-A-2755,09-08-2020,ACTIVE
3414,West,67,Nagapura,27-07-2020,4,W-A-2862,09-08-2020,ACTIVE
3415,West,67,Nagapura,27-07-2020,1,W-A-2863,09-08-2020,ACTIVE
3416,West,67,Nagapura,27-07-2020,1,W-A-2864,09-08-2020,ACTIVE
3417,West,67,Nagapura,27-07-2020,1,W-A-2865,09-08-2020,ACTIVE
3418,West,67,Nagapura,28-07-2020,1,W-A-3056,10-08-2020,ACTIVE
3419,West,67,Nagapura,28-07-2020,1,W-A-3057,10-08-2020,ACTIVE
3420,West,67,Nagapura,28-07-2020,2,W-A-3058,10-08-2020,ACTIVE
3421,West,67,Nagapura,28-07-2020,1,W-A-3059,10-08-2020,ACTIVE
3422,West,67,Nagapura,28-07-2020,1,W-A-3060,10-08-2020,ACTIVE
3423,West,67,Nagapura,28-07-2020,2,W-A-3061,10-08-2020,ACTIVE
3424,West,67,Nagapura,28-07-2020,3,W-A-3062,10-08-2020,ACTIVE
3425,West,67,Nagapura,28-07-2020,1,W-A-3063,10-08-2020,ACTIVE
3426,West,67,Nagapura,28-07-2020,1,W-A-3064,10-08-2020,ACTIVE
3427,West,67,Nagapura,28-07-2020,1,W-A-3065,10-08-2020,ACTIVE
3428,West,67,Nagapura,31-07-2020,1,W-A-3627,13-08-2020,ACTIVE
3429,West,67,Nagapura,24-06-2020,1,W-A-5,07-08-2020,ACTIVE
3430,West,67,Nagapura,21-07-2020,1,W-AP-126,04-08-2020,ACTIVE
3431,West,67,Nagapura,01-08-2020,1,W-A-3816,14-08-2020,ACTIVE
3432,West,67,Nagapura,01-08-2020,1,W-A-3817,14-08-2020,ACTIVE
3433,West,67,Nagapura,01-08-2020,1,W-A-3818,14-08-2020,ACTIVE
3434,West,67,Nagapura,01-08-2020,1,W-A-3819,14-08-2020,ACTIVE
3435,West,67,Nagapura,01-08-2020,1,W-A-3820,14-08-2020,ACTIVE
3436,West,67,Nagapura,01-08-2020,1,W-A-3821,14-08-2020,ACTIVE
3437,West,67,Nagapura,02-08-2020,1,W-A-4051,15-08-2020,ACTIVE
3438,West,67,Nagapura,02-08-2020,5,W-A-4052,15-08-2020,ACTIVE
3439,West,67,Nagapura,02-08-2020,1,W-A-4053,15-08-2020,ACTIVE
3440,West,68,Mahalakshmi Puram,18-07-2020,1,W-A-1747,01-08-2020,ACTIVE
3441,West,68,Mahalakshmi Puram,18-07-2020,3,W-A-1748,01-08-2020,ACTIVE
3442,West,68,Mahalakshmi Puram,18-07-2020,1,W-A-1749,01-08-2020,ACTIVE
3443,West,68,Mahalakshmi Puram,18-07-2020,1,W-A-1750,01-08-2020,ACTIVE
3444,West,68,Mahalakshmi Puram,18-07-2020,1,W-A-1751,01-08-2020,ACTIVE
3445,West,68,Mahalakshmi Puram,20-07-2020,1,W-A-1949,03-08-2020,ACTIVE
3446,West,68,Mahalakshmi Puram,20-07-2020,1,W-A-1950,03-08-2020,ACTIVE
3447,West,68,Mahalakshmi Puram,21-07-2020,1,W-A-2050,04-08-2020,ACTIVE
3448,West,68,Mahalakshmi Puram,21-07-2020,2,W-A-2051,04-08-2020,ACTIVE
3449,West,68,Mahalakshmi Puram,21-07-2020,1,W-A-2052,04-08-2020,ACTIVE
3450,West,68,Mahalakshmi Puram,21-07-2020,1,W-A-2053,04-08-2020,ACTIVE
3451,West,68,Mahalakshmi Puram,21-07-2020,1,W-A-2054,04-08-2020,ACTIVE
3452,West,68,Mahalakshmi Puram,21-07-2020,1,W-A-2055,04-08-2020,ACTIVE
3453,West,68,Mahalakshmi Puram,21-07-2020,1,W-A-2056,04-08-2020,ACTIVE
3454,West,68,Mahalakshmi Puram,21-07-2020,1,W-A-2057,04-08-2020,ACTIVE
3455,West,68,Mahalakshmi Puram,23-07-2020,1,W-A-2335,06-08-2020,ACTIVE
3456,West,68,Mahalakshmi Puram,23-07-2020,5,W-A-2336,06-08-2020,ACTIVE
3457,West,68,Mahalakshmi Puram,23-07-2020,1,W-A-2337,06-08-2020,ACTIVE
3458,West,68,Mahalakshmi Puram,23-07-2020,1,W-A-2338,06-08-2020,ACTIVE
3459,West,68,Mahalakshmi Puram,23-07-2020,1,W-A-2339,06-08-2020,ACTIVE
3460,West,68,Mahalakshmi Puram,23-07-2020,1,W-A-2340,06-08-2020,ACTIVE
3461,West,68,Mahalakshmi Puram,25-07-2020,2,W-A-2620,08-08-2020,ACTIVE
3462,West,68,Mahalakshmi Puram,27-07-2020,1,W-A-2866,09-08-2020,ACTIVE
3463,West,68,Mahalakshmi Puram,27-07-2020,1,W-A-2867,09-08-2020,ACTIVE
3464,West,68,Mahalakshmi Puram,27-07-2020,1,W-A-2868,09-08-2020,ACTIVE
3465,West,68,Mahalakshmi Puram,27-07-2020,1,W-A-2869,09-08-2020,ACTIVE
3466,West,68,Mahalakshmi Puram,27-07-2020,1,W-A-2870,09-08-2020,ACTIVE
3467,West,68,Mahalakshmi Puram,28-07-2020,1,W-A-3066,10-08-2020,ACTIVE
3468,West,68,Mahalakshmi Puram,28-07-2020,2,W-A-3067,10-08-2020,ACTIVE
3469,West,68,Mahalakshmi Puram,28-07-2020,1,W-A-3068,10-08-2020,ACTIVE
3470,West,68,Mahalakshmi Puram,28-07-2020,1,W-A-3069,10-08-2020,ACTIVE
3471,West,68,Mahalakshmi Puram,28-07-2020,1,W-A-3070,10-08-2020,ACTIVE
3472,West,68,Mahalakshmi Puram,28-07-2020,1,W-A-3071,10-08-2020,ACTIVE
3473,West,68,Mahalakshmi Puram,28-07-2020,1,W-A-3072,10-08-2020,ACTIVE
3474,West,68,Mahalakshmi Puram,31-07-2020,1,W-A-3628,13-08-2020,ACTIVE
3475,West,68,Mahalakshmi Puram,31-07-2020,1,W-A-3629,13-08-2020,ACTIVE
3476,West,68,Mahalakshmi Puram,31-07-2020,1,W-A-3630,13-08-2020,ACTIVE
3477,West,68,Mahalakshmi Puram,31-07-2020,1,W-A-3631,13-08-2020,ACTIVE
3478,West,68,Mahalakshmi Puram,31-07-2020,1,W-A-3632,13-08-2020,ACTIVE
3479,West,68,Mahalakshmi Puram,31-07-2020,1,W-A-3633,13-08-2020,ACTIVE
3480,West,68,Mahalakshmi Puram,31-07-2020,1,W-A-3634,13-08-2020,ACTIVE
3481,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3822,14-08-2020,ACTIVE
3482,West,68,Mahalakshmi Puram,01-08-2020,2,W-A-3823,14-08-2020,ACTIVE
3483,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3824,14-08-2020,ACTIVE
3484,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3825,14-08-2020,ACTIVE
3485,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3826,14-08-2020,ACTIVE
3486,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3827,14-08-2020,ACTIVE
3487,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3828,14-08-2020,ACTIVE
3488,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3829,14-08-2020,ACTIVE
3489,West,68,Mahalakshmi Puram,01-08-2020,1,W-A-3830,14-08-2020,ACTIVE
3490,West,68,Mahalakshmi Puram,01-08-2020,3,W-A-3831,14-08-2020,ACTIVE
3491,West,68,Mahalakshmi Puram,02-08-2020,1,W-A-4054,15-08-2020,ACTIVE
3492,West,68,Mahalakshmi Puram,02-08-2020,1,W-A-3480,15-08-2020,ACTIVE
3493,West,68,Mahalakshmi Puram,02-08-2020,1,W-A-4055,15-08-2020,ACTIVE
3494,West,68,Mahalakshmi Puram,02-08-2020,1,W-A-4056,15-08-2020,ACTIVE
3495,RR Nagar,69,Laggere,15-07-2020,1,R-A- 708,28-07-2020,ACTIVE
3496,RR Nagar,69,Laggere,15-07-2020,1,R-A- 709,28-07-2020,ACTIVE
3497,RR Nagar,69,Laggere,15-07-2020,1,R-A- 710,28-07-2020,ACTIVE
3498,RR Nagar,69,Laggere,23-07-2020,1,R-A-1250,05-08-2020,ACTIVE
3499,RR Nagar,69,Laggere,23-07-2020,1,R-A-1251,05-08-2020,ACTIVE
3500,RR Nagar,69,Laggere,23-07-2020,2,R-A-1252,05-08-2020,ACTIVE
3501,RR Nagar,69,Laggere,24-07-2020,1,R-A-1336,06-08-2020,ACTIVE
3502,RR Nagar,69,Laggere,24-07-2020,1,R-A-1337,06-08-2020,ACTIVE
3503,RR Nagar,69,Laggere,24-07-2020,1,R-A-1338,06-08-2020,ACTIVE
3504,RR Nagar,69,Laggere,24-07-2020,4,R-A-1339,06-08-2020,ACTIVE
3505,RR Nagar,69,Laggere,24-07-2020,2,R-A-1340,06-08-2020,ACTIVE
3506,RR Nagar,69,Laggere,24-07-2020,1,R-A-1342,06-08-2020,ACTIVE
3507,RR Nagar,69,Laggere,24-07-2020,1,R-A-1343,06-08-2020,ACTIVE
3508,RR Nagar,69,Laggere,24-07-2020,9,R-A-1344,06-08-2020,ACTIVE
3509,RR Nagar,69,Laggere,24-07-2020,1,R-A-1345,06-08-2020,ACTIVE
3510,RR Nagar,69,Laggere,24-07-2020,1,R-A-1346,06-08-2020,ACTIVE
3511,RR Nagar,69,Laggere,27-07-2020,1,R-A-1521,09-08-2020,ACTIVE
3512,RR Nagar,69,Laggere,27-07-2020,1,R-A-1522,09-08-2020,ACTIVE
3513,RR Nagar,69,Laggere,27-07-2020,2,R-A-1523,09-08-2020,ACTIVE
3514,RR Nagar,69,Laggere,28-07-2020,1,R-A-1586,10-08-2020,ACTIVE
3515,RR Nagar,69,Laggere,28-07-2020,2,R-A-1587,10-08-2020,ACTIVE
3516,RR Nagar,69,Laggere,28-07-2020,2,R-A-1588,10-08-2020,ACTIVE
3517,RR Nagar,69,Laggere,29-07-2020,1,R-A-1689,11-08-2020,ACTIVE
3518,RR Nagar,69,Laggere,29-07-2020,1,R-A-1690,11-08-2020,ACTIVE
3519,RR Nagar,69,Laggere,29-07-2020,2,R-A-1691,11-08-2020,ACTIVE
3520,RR Nagar,69,Laggere,29-07-2020,1,R-A-1692,11-08-2020,ACTIVE
3521,RR Nagar,69,Laggere,29-07-2020,1,R-A-1693,11-08-2020,ACTIVE
3522,RR Nagar,69,Laggere,29-07-2020,1,R-A-1694,11-08-2020,ACTIVE
3523,RR Nagar,69,Laggere,29-07-2020,1,R-A-1695,11-08-2020,ACTIVE
3524,RR Nagar,69,Laggere,29-07-2020,4,R-A-1696,11-08-2020,ACTIVE
3525,RR Nagar,69,Laggere,29-07-2020,1,R-A-1697,11-08-2020,ACTIVE
3526,RR Nagar,69,Laggere,30-07-2020,1,R-A-1786,12-08-2020,ACTIVE
3527,RR Nagar,69,Laggere,30-07-2020,1,R-A-1787,12-08-2020,ACTIVE
3528,RR Nagar,69,Laggere,30-07-2020,1,R-A-1788,12-08-2020,ACTIVE
3529,RR Nagar,69,Laggere,30-07-2020,1,R-A-1789,12-08-2020,ACTIVE
3530,RR Nagar,69,Laggere,30-07-2020,1,R-A-1790,12-08-2020,ACTIVE
3531,RR Nagar,69,Laggere,30-07-2020,1,R-A-1791,12-08-2020,ACTIVE
3532,RR Nagar,69,Laggere,30-07-2020,1,R-A-1792,12-08-2020,ACTIVE
3533,RR Nagar,69,Laggere,30-07-2020,1,R-A-1793,12-08-2020,ACTIVE
3534,RR Nagar,69,Laggere,31-07-2020,1,R-A-1886,13-08-2020,ACTIVE
3535,RR Nagar,69,Laggere,31-07-2020,1,R-A-1887,13-08-2020,ACTIVE
3536,RR Nagar,69,Laggere,31-07-2020,1,R-A-1888,13-08-2020,ACTIVE
3537,RR Nagar,69,Laggere,31-07-2020,1,R-A-1889,13-08-2020,ACTIVE
3538,RR Nagar,69,Laggere,31-07-2020,1,R-A-1890,13-08-2020,ACTIVE
3539,RR Nagar,69,Laggere,19-07-2020,1,R-A-968,01-08-2020,ACTIVE
3540,RR Nagar,69,Laggere,19-07-2020,1,R-A-969,01-08-2020,ACTIVE
3541,RR Nagar,69,Laggere,19-07-2020,1,R-A-970,01-08-2020,ACTIVE
3542,RR Nagar,69,Laggere,23-07-2020,1,R-AP-1249,05-08-2020,ACTIVE
3543,Dasarahalli,70,Rajagopal Nagar,19-07-2020,1,D-A-246,01-08-2020,ACTIVE
3544,Dasarahalli,70,Rajagopal Nagar,21-07-2020,4,D-A-278,03-08-2020,ACTIVE
3545,Dasarahalli,70,Rajagopal Nagar,21-07-2020,1,D-A-279,03-08-2020,ACTIVE
3546,Dasarahalli,70,Rajagopal Nagar,22-07-2020,1,D-A-293,04-08-2020,ACTIVE
3547,Dasarahalli,70,Rajagopal Nagar,23-07-2020,1,D-A-329,05-08-2020,ACTIVE
3548,Dasarahalli,70,Rajagopal Nagar,23-07-2020,1,D-A-330,05-08-2020,ACTIVE
3549,Dasarahalli,70,Rajagopal Nagar,23-07-2020,1,D-A-331,05-08-2020,ACTIVE
3550,Dasarahalli,70,Rajagopal Nagar,23-07-2020,1,D-A-332,05-08-2020,ACTIVE
3551,Dasarahalli,70,Rajagopal Nagar,17-07-2020,1,D-A-349,30-07-2020,ACTIVE
3552,Dasarahalli,70,Rajagopal Nagar,24-07-2020,1,D-A-368,06-08-2020,ACTIVE
3553,Dasarahalli,70,Rajagopal Nagar,24-07-2020,1,D-A-369,06-08-2020,ACTIVE
3554,Dasarahalli,70,Rajagopal Nagar,24-07-2020,1,D-A-370,06-08-2020,ACTIVE
3555,Dasarahalli,70,Rajagopal Nagar,25-07-2020,1,D-A-398,07-08-2020,ACTIVE
3556,Dasarahalli,70,Rajagopal Nagar,25-07-2020,1,D-A-399,07-08-2020,ACTIVE
3557,Dasarahalli,70,Rajagopal Nagar,25-07-2020,1,D-A-400,07-08-2020,ACTIVE
3558,Dasarahalli,70,Rajagopal Nagar,25-07-2020,1,D-A-401,07-08-2020,ACTIVE
3559,Dasarahalli,70,Rajagopal Nagar,25-07-2020,1,D-A-402,07-08-2020,ACTIVE
3560,Dasarahalli,70,Rajagopal Nagar,25-07-2020,1,D-A-403,07-08-2020,ACTIVE
3561,Dasarahalli,70,Rajagopal Nagar,26-07-2020,1,D-A-415,08-08-2020,ACTIVE
3562,Dasarahalli,70,Rajagopal Nagar,26-07-2020,1,D-A-416,08-08-2020,ACTIVE
3563,Dasarahalli,70,Rajagopal Nagar,26-07-2020,2,D-A-417,08-08-2020,ACTIVE
3564,Dasarahalli,70,Rajagopal Nagar,27-07-2020,1,D-A-434,09-08-2020,ACTIVE
3565,Dasarahalli,70,Rajagopal Nagar,27-07-2020,2,D-A-435,09-08-2020,ACTIVE
3566,Dasarahalli,70,Rajagopal Nagar,27-07-2020,3,D-A-436,09-08-2020,ACTIVE
