"",Beneficiaries vaccinated,
1st Dose,2nd Dose,Total Doses
"83,55,49,174","57,82,23,251","1,41,37,72,425"
"(8,91,839 in last 24 Hours)","(23,98,927 in last 24 Hours)","(32,90,766 in last 24 Hours)"
