PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
DB_LASTUPDATED_SET	S. No	Incident Location	District	State/UT	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
SET_APRIL8	11	Hospet	Bellary	Karnataka	March 31,2020	2	Starvation, Lockdown	Prajaavani	March 31,2020	https://www.prajavani.net/district/bellary/hosapete-hunger-death-lockdown-coronavirus-716425.html
SET_APRIL8	12	Jaipur	Jaipur	Rajastha	March 29, 2020	1	Walking, exhaustion, got sick	Beyond Headlines, Amar Ujala	March 30, 2020	https://beyondheadlines.in/2020/03/deaths-due-to-lockdown/
SET_APRIL8	13	Datia	Datiya	MP	March 26, 2020	1	Left untreated by doctor due to lockdown	Beyond Headlines, Amar Ujala	March 28, 2020	https://www.amarujala.com/madhya-pradesh/madhya-pradesh-datia-worker-did-not-get-treatment-in-lockdown-dies-in-home
SET_APRIL8	14	Sonabarighat village	Silchar, Cachar	Assam	March 28, 2020	1	Died under mysterious circumstances	News18	March 28,2020	https://www.news18.com/news/india/assam-constable-dies-in-market-family-claims-lynched-sp-differs-2555291.html
SET_APRIL8	15	Lad-Chincholi village	Aland Taluk	Karnataka	March 30, 2020	1	Farmer suicide, lockdown	Indian Express	April 1, 2020	https://www.newindianexpress.com/states/karnataka/2020/apr/01/supply-chain-breaks-farmers-in-distress-2124166.html
SET_APRIL8	16	Fariya Pipariya	Lakhimpur Kheri	Uttar Pradesh	April 1, 2020	1	Suicide, Police brutality, Lockdown	National Herald	April 2, 2020	https://www.nationalheraldindia.com/india/uttar-pradesh-dalit-youth-kills-self-after-being-tortured-by-police-for-breaking-quarantine-rule
SET_APRIL8	17	Zakir colony	Meerut	Uttar Pradesh	March 27, 2020	1	Suicide, Lockdown	Janwani	March 28, 2020	http://janwani.in/epaper_1_3_71_2020-3-28_a.html
SET_APRIL8	18	Bachupally	Hyderabad	Andra Pradesh	March 31, 2020	1	Starvation, Lockdown	New Indian Express	April 1, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/01/one-more-suspected-starvation-death-three-alcoholics-die-in-hyderabad-2124205.html
SET_APRIL8	19	Secunderabad	Secunderabad	Telangana	April 1, 2020	1	Exhaustion, Migration	NDTV	April 2, 2020	https://www.ndtv.com/india-news/coronavirus-covid-19-lockdown-tamil-nadu-mans-500-km-walk-amid-lockdown-becomes-his-last-2205155
SET_APRIL8	20	Mountainous peak over Jawahar Tunnel	Anantnag	JK	March 31, 2020	3	Buried under snow, Roadblock, Migration	The Indian Express	April 2, 2020	https://indianexpress.com/article/india/jammu-and-kashmir-tunnel-blocked-migrants-die-of-cold-on-mountain-route/
SET_APRIL8	21	Sangrampur village	Ramgarh	Jharkhand	April 2, 2020	1	Starvation, Lockdown	TelegraphIndia	April 3, 2020	https://www.telegraphindia.com/states/jharkhand/coronavirus-pandemic-hunger-death-cry-in-ramgarh-finger-at-lockdown/cid/1761524
SET_APRIL8	22	Maheshwar block	Khargoan	Madhya Pradesh	April 4, 2020	1	Police beating	Janjwar	April 4,2020	https://janjwar.com/post/police-beat-up-tribal-youth-who-went-to-ration-in-madhya-pradesh-died-in-hospital
SET_APRIL8	23	Ujjain	Ujjain	Madhya Pradesh	April 5, 2020	1	Medical Negligance, ICU closed	NDTV	April 5,2020	https://khabar.ndtv.com/news/india/lockdown-icu-was-locked-critically-ill-woman-died-outside-the-gate-2206161
SET_APRIL8	24	Numaish Maidan, Bannadevi Thana	Aligarh	Uttar Pradesh	April 4,2020	1	Lack of treatment, lockdown	Amar Ujala	April 5, 2020	https://www.amarujala.com/uttar-pradesh/aligarh/aligarh-lockdown-news-poor-man-died-as-he-did-not-get-proper-treatment
SET_APRIL8	25	Batala	Gurdaspur	Punjab		1	suicide, lack of work & food	Dainik Bhaskar	April 5, 2020	https://archive.org/details/NonVirusDeaths
SET_APRIL8	26	Kaarun village	Gadhwa	Jharkhand	April 4, 2020	1	Starvation, Lockdown	Live Hundustan	April 6, 2020	https://www.livehindustan.com/jharkhand/ranchi/story-sad-woman-dies-in-garhwa-husband-claims-hunger-killed-3131172.html
SET_APRIL8	27	Dehri-on-Sone	Rohtas	Bihar	April 8, 2020	1	Exhausation, Migration	TelegraphIndia	April 3, 2020	https://www.telegraphindia.com/india/coronavirus-lockdown-migrant-dies-on-walk-home/cid/1761591
SET_APRIL8	28	Manimajra	Chandigarh	Chandigarh	April 1, 2020	1	Police beating	Times of India	April 3, 2020	https://timesofindia.indiatimes.com/city/chandigarh/chandigarh-woman-out-to-buy-medicines-dies-relatives-attack-cops/articleshow/74941006.cms
SET_APRIL8	29	Ballary	Ballary	Karnataka	April 5, 2020	1	Starvation, Migration, Lockdown	Vijaya Karnataka	April 7, 2020	https://vijaykarnataka.com/news/bellary/lockdown-in-karnataka-29-year-old-sindhanur-woman-dies-after-try-to-reach-home-by-walk-from-bengaluru/articleshow/75020447.cms
SET_APRIL8	1	Pakbada Ilaka	Moradabad	Uttar Pradesh	March 28,2020	1	Road accident, Migration	Wire (Hindi)	March 30,2020	http://thewirehindi.com/115435/coronavirus-lockdown-factory-worker-died-on-the-way-to-home/
SET_APRIL8	2	Gwalior	Gwalior	Madhya Pradesh	March 30, 2020	1	Walking, Road Accident	Nai Dunia (Hindi)	March 31, 2020	https://www.naidunia.com/madhya-pradesh/gwalior-he-5444895
