PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
DB_LASTUPDATED_SET	S. No	Incident Location	District	State/UT	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
SET_APRIL9	30		Baripada	Odisha	April 5, 2020	1	Suicide, Suicide due to finacial and food crisis	Orissa post, twitter	April 5, 2020	https://www.orissapost.com/man-commits-suicide-owing-to-financial-crisis-amid-21-day-lockdown/
SET_APRIL9	31		Bengaluru	Karnataka	March 19, 2020	1	Suicide, Suicide due to financial distress	The New Indian Express	March 22, 2020	https://www.newindianexpress.com/cities/bengaluru/2020/mar/22/covid-scare-hits-business-auto-driver-ends-life-2119994.html
SET_APRIL9	32	Salt Lake	Kolkata	West Bengal	April 2, 2020	1	Alone, sick no help, No medical attention	Times of India	April 2, 2020	https://timesofindia.indiatimes.com/city/kolkata/salt-lake-citizens-die-unattended-at-home/articleshow/74939366.cms?utm_campaign=andapp&utm_medium=referral&utm_source=native_share_tray-
SET_APRIL9	33	Sukantanagar	Kolkata	West Bengal	April 2, 2020	1	Alone, None to check on	Times of India	April 2, 2020	https://timesofindia.indiatimes.com/city/kolkata/salt-lake-citizens-die-unattended-at-home/articleshow/74939366.cms?utm_campaign=andapp&utm_medium=referral&utm_source=native_share_tray-
SET_APRIL9	34	Gaondevi Road at Samta Nagar	Mumbai	Maharashtra	March 25, 2020	1	Killed for violating lockdown rules	The Free Express Journal	March 27,2020	https://www.freepressjournal.in/mumbai/mumbai-crime-man-kills-brother-in-spat-over-lockdown-violation
SET_APRIL9	35	Balijana	Gopalpara	Assam	April 4, 2020	1	Suicide, Lackof food	TelegraphIndia	April 6, 2020	https://www.telegraphindia.com/states/north-east/coronavirus-lockdown-daily-wage-labourer-found-dead-in-goalpara/cid/1762385
SET_APRIL9	25		Kolar	Karnataka	March 30, 2020	1	Suicide, Withdrawal	twitter post by senior editor CNN-News18	March 30, 2020	https://twitter.com/dp_satish/status/1244601272939843585
SET_APRIL9	26	Chenglapattu	Chennai	Tamil Nadu	April 5, 2020	3	Death, withdrawal, consumed sanitizer	banglore mirror	April 6, 2020	https://bangaloremirror.indiatimes.com/news/india/three-men-die-in-tamil-nadu-after-consuming-hand-sanitizer-following-non-availability-of-alcohol/articleshow/75007306.cms
SET_APRIL9	27	Villupuram		Tamil Nadu	April 7, 2020	1	Death, withdrawal	PTI; outlook	April 8, 2020	https://www.outlookindia.com/newsscroll/man-hooked-to-booze-dies-in-tn-after-vain-bid-to-get-his-dose/1795575
SET_APRIL9	28	Sangareddy	Sangareddy	Andhra Pradesh		5	Suicide, death/suicide, withdrawl	Eendu	April 1, 2020	https://www.eenadu.net/archivespage/archivenewsdetails/220057767/01-04-2020/ts
SET_APRIL9	29	Nizamabad	Sangareddy	Andra Pradesh		1	Suicide, death/suicide, withdrawl	Eendu	April 1, 2020	https://www.eenadu.net/archivespage/archivenewsdetails/220057767/01-04-2020/ts
SET_APRIL9	22		Tangapani	Chhattisgarh	March 30,2020	1	Suicide, Home Qurantine	TimesOfIndia	March 30,2020	https://m.timesofindia.com/city/raipur/chhattisgarh-covid-19-suspect-under-home-quarantine-commits-suicide-in-dhamtari/amp_articleshow/74899263.cms
SET_APRIL9	23	Jamalpur village	Banda	UP	April 4, 2020	1	Suicide, fear of having infection	Deccan Herald	April 6, 2020	https://www.deccanherald.com/national/north-and-central/uttar-pradesh-man-suffering-from-cough-cold-ends-life-fearing-he-had-covid-19-821927.html
SET_APRIL9	24	Khurampur village		Punjab	April 5, 2020	1	Suicide, fear of having infection	India blooms	April 5, 2020	https://indiablooms.com/news-details/N/60684/elderly-woman-commits-suicide-fearing-coronavirus-infection-in-punjab.html
SET_APRIL9	25	Kappalur tollgate	Madurai	Tamil Nadu		1	Suicide, Stigma/Ostracization	The Hush Post	April 2, 2020	https://thehushpost.com/tamil-nadu/man-hounded-for-contracting-coronavirus-commits-suicide-tests-negative-later/
SET_APRIL9	19	Kahua Mushari village	Munger	Bihar	April 5,2020	3	Fire	ABP Live	April 6,2020	https://news.abplive.com/news/india/coronavirus-9-pm-9-minutes-fire-in-bihar-grandmother-two-girls-die-in-bihar-fire-1190840
SET_APRIL_10	33	Devarahalli	Tamakaru 	Karnataka	April 9, 2020	1	Suicide, unable to sell crop 	PTI, https://www.latestly.com/	April 9, 2020	https://www.latestly.com/agency-news/unable-to-sell-produce-due-to-lockdown-farmer-commits-suicide-in-karnataka-1671563.html
SET_APRIL_10	34	Varanasi	Varansi	UP	April 7, 2020	1	Suicide, unable to earn, wife left	National Herald	April 7, 2020	https://www.nationalheraldindia.com/india/lockdown-leads-to-dramatic-increase-in-incidents-of-domestic-violence-in-up
SET_APRIL_10	9	Bhopal	Bhopal	Madhya Pradesh	March 28, 2020 (also April)	3	Lack of treatment, discharge from hospital	The Quint	April 9,2020	https://www.thequint.com/coronavirus/bhopal-gas-tragedy-victims-die-bmhrc-covid-19-treatment-munni-bee
SET_APRIL_10	36	Mehgaon	Bhind	Madhya Pradesh	April 8, 2020	1	Starvation, lack of medical aid	Patrika	April 8, 2020	https://www.patrika.com/gwalior-news/old-man-death-in-bhind-due-to-hunger-during-lockdown-from-corona-5980463/?fbclid=IwAR0bB2uNNC6p2YH4MDt0Y39kcJ1U8USpFKGeMb6j8pLK3jTlDRgBUqNgF5U
SET_APRIL_10	4		Gaya	Bihar	April 6, 2020	1	Sexual Abuse, Medical negligence	Deccan Herald	April 8, 2020	https://www.deccanherald.com/amp/national/north-and-central/migrant-woman-in-bihar-coronavirus-isolation-ward-sexually-abused-dies-822914.html
SET_APRIL_10	5	Alipur	Mainpuri	Uttar Pradesh	April 2, 2020	1	Vigilantism, Crime	Indian Express	April 2, 2020	https://indianexpress.com/article/coronavirus/coronavirus-army-man-kills-woman-after-her-family-alerts-authorities-about-his-return-6343734/
SET_APRIL_10	6	Bhadauli village	Sisai	Jharkhand		1	Vigilantism, Crime	News 18	April 8, 2020	https://hindi.news18.com/news/jharkhand/gumla-two-groups-clash-in-a-rumor-of-spreading-corona-in-gumla-jhnj-2995882.html
SET_APRIL_10	30	Aranthangi	Pudukottai	Tamil Nadu		1	death/suicide, withdrawl	Dinakaran	April 7, 2020	https://m.dinakaran.com/article/News_Detail/577283/amp#aoh=15863494190865&amp_ct=1586349447386&csi=1&referrer=https%3A%2F%2Fwww.google.com&amp_tf=From%20%251%24s
SET_APRIL_10	26		Fatehpur	UP	April 7, 2020	2	Suicide, family didnt approve of relation, couldnt flee due to lockdown	Outlook	April 7, 2020	https://www.outlookindia.com/newsscroll/teenage-boy-girl-found-hanging-from-tree-in-up-police-say-suicide/1793997
SET_APRIL_10	27	Puranpur	Pilibhit	UP	April 8, 2020	1	Suicide, was asked to quarantine	Telegraph	April 8, 2020	https://www.telegraphindia.com/india/coronavirus-link-in-uttarakhand-suicide/cid/1762992
SET_APRIL_10	28		Shamli	UP	April 2, 2020	1	Suicide, suspected to be infected, loss in business	Outlook	April 2, 2020	https://www.outlookindia.com/newsscroll/up-corona-suspect-commits-suicide/1788537
SET_APRIL_10	29	Rudrapur	Udham Singh Nagar	Uttarakhand	April 6, 2020	1	Suicide	Telegraph	April 8, 2020	https://www.telegraphindia.com/india/coronavirus-link-in-uttarakhand-suicide/cid/1762992
SET_APRIL_10	30	Karnal	Karnal	Haryana	April 6, 2020	1	Suicide, Fear	ABP Live	April 6, 2020	https://news.abplive.com/news/india/haryana-covid-19-suspect-dies-after-falling-from-sixth-floor-of-karnal-hospital-during-escape-bid-1190747
SET_APRIL_10	31	Sasthavattom	Thiruvananthapuram	Kerala	April 8, 2020	1	Suicide, fear of having infection	Samayam	April 8, 2020	https://malayalam.samayam.com/local-news/thiruvananthapuram/man-committed-suicide-at-thiruvananthapuram-over-covid-19-fear/articleshow/75044244.cms
SET_APRIL_10	20	Radha Kund	Gonda	Uttar Pradesh		1	Suicide	India Today	April 9, 2020	https://www.indiatoday.in/india/story/man-commits-suicide-as-he-missed-wife-in-lockdown-1665050-2020-04-09
SET_APRIL_10	21	Adarshanagar in Mahmoodabad	Sitapur	Uttar Pradesh	April 7, 2020	1	Death by fogging	The Telegraph	April 9, 2020	https://www.telegraphindia.com/india/sweeper-faints-dies-after-fogging-in-uttar-pradesh/cid/1763307
SET_APRIL_11	37	Hyderabad	Hyderabad	Andhra Pradesh	April 2, 2020	1	Lockdown, lack of medical aid	Times of India	April 11, 2020	https://timesofindia.indiatimes.com/city/hyderabad/covid-fear-claims-new-moms-life-as-10-hyderabad-hospitals-turn-her-away/articleshow/75089872.cms
SET_APRIL_11	38	Jahanabad	Jahanabad	Bihar	April 10,2020	1	Lockdown, lack of medical aid, no ambulance	Live Hindustan	April 11, 2020	https://www.livehindustan.com/bihar/story-ambulance-not-found-to-take-innocent-child-to-pmch-in-jehanabad-bihar-sadar-hospital-child-death-amid-corona-lockdown-3142509.html
SET_APRIL_11	7		Madurai (Vandiyur, Netaji Nagar)	Tamil Nadu	April 9, 2020	1	Murder by son	Dinakaran.com	April 10, 2020	http://www.dinakaran.com/News_Detail.asp?Nid=578015
SET_APRIL_11	31		Perambur (aynavaram, Elzhumazhai street)	Tamil Nadu	April 9, 2020	1	suicide, withdrawal	Dinakaran	April 10, 2020	https://epaper.dinakaran.com/2628334/Chennai-Main/10-04-2020#dual/8/2
SET_APRIL_11	32	Ariyalur	Ariyalur	Tamil Nadu	April 10, 2020	1	Suicide, Isolation, Fear of Infection	Deccan Herald	April 11, 2020	https://www.deccanherald.com/national/south/tamil-nadu-man-hangs-self-in-isolation-ward-later-tests-negative-for-covid-19-823884.html
SET_APRIL_11	33	Badagaon	Sundargarh	Orissa	April 9,2020	1	Suicide, Fear of infection/quarantine	Hindustan Times	April 8, 2020	https://www.hindustantimes.com/india-news/tribal-youth-in-quarantine-hangs-himself-to-death-in-odisha/story-ecQXiuh8hvFz0IMx15pXcP.html
SET_APRIL_11	34	Akola	Akola	Maharashtra	April 11, 2020	1	Suicide, fear of infection 	Hindustan Times	April 11, 2020	https://www.hindustantimes.com/mumbai-news/maharashtra-covid-19-patient-from-assam-allegedly-commits-suicide/story-aVUPfLUDH7T3P26b42ntLL.html
SET_APRIL_11	22	Tikahara village 	Bokaro	Jharkhand	April 8, 2020	1	Death by hunger, lack of medical care	Times of India	April 10, 2020	https://timesofindia.indiatimes.com/city/ranchi/parents-apologise-for-saying-girl-died-of-hunger-in-bokaro-village/articleshow/75072301.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst
SET_APRIL_14	39	Shakra village	Purulia 	West Bengal	April 11, 2020	1	Lockdown, starvation	Asianet News	April 11, 2020	https://bangla.asianetnews.com/coronavirus-westbengal/the-dm-of-purulia-has-denied-the-starvation-cause-in-10-year-old-boy-death-case-q8mp50
SET_APRIL_14	40	Thirupavanam	Sivaganga	Tamil Nadu		1	Lockdown, starvation	Kalaignar Seithigal	April 11, 2020	https://www.kalaignarseithigal.com/tamilnadu/2020/04/11/old-man-hunger-death-during-corona-lockdown
SET_APRIL_14	41	Jaari village	Banda	Uttar Pradesh	April 12, 2020	1	lockdown, farmer suicide, unavailability of workers to harvest	News 18	April 12, 2020	https://www.news18.com/news/india/covid-19-farmer-commits-suicide-in-up-after-no-labourers-to-harvest-crop-2574619.html
SET_APRIL_14	42		Badoda	Gujarat	April 10, 2020	1	neglect by doctor, maintained phsycial distance	Nai Dunia	April 11,2020	https://www.naidunia.com/madhya-pradesh/sheopur-sheopur-news-5481072
SET_APRIL_14	45	Satna	Satna	Madhya Pradesh	March 28, 2020	1	Lockdown, Neglect by doctor	Dainik Bhaskar 	April 1, 2020	https://ia601503.us.archive.org/26/items/NonVirusDeaths/Satna.jpg
SET_APRIL_14	46	Delhi	Delhi	Delhi	April 6, 2020	1	Lockdown, Early discharge from hospital	Yahoo News	April 12, 2020	https://news.yahoo.com/pandemic-spells-death-sentence-indias-non-virus-patients-051543987.html?guccounter=1
SET_APRIL_14	47	Antarasanthe, Heggadadevana Kote	Mysore	Karnataka		1	Starvation, Lockdown	Daily Hunt	April 11, 2020	https://m.dailyhunt.in/news/india/kannada/kannadavahini-epaper-vahikan/laak+doun+nindha+hasivu+taalalaarade+vruddha+saavu+antyakriye+neraverisidha+muslimaru-newsid-177616198?ss=wsp&s=pa
SET_APRIL_14	48	Bhopal	Bhopal	Madhya Pradesh		6	Lack of treatment, discharge from hospital	Rachna Dhingra	April 23,2020	https://ia601503.us.archive.org/26/items/NonVirusDeaths/letter_to_officials_on_7_gas_victim_COVIDdeathsApril23.pdf
SET_APRIL_14	35	Khindriya	Muzaffarnagar	Uttar Pradesh	April 11, 2020	1	Suicide, isolation	News 18	April 12, 2020	https://www.news18.com/news/india/man-under-covid-19-home-quarantine-in-muzaffarnagar-commits-suicide-2573745.html
SET_APRIL_14	36		Greater Noida	Uttar Pradesh	April 12, 2020	1	suicide, quarantine	PTI, outlook	April 12, 2020	https://www.outlookindia.com/newsscroll/covid19-suspect-jumps-to-death-at-quarantine-facility-in-greater-noida/1800333
SET_APRIL_14	37	Pilakhua	Harpur	UP	March 22, 2020	1	Suicide, fear of infection 	keralakaumudi	March 24, 2020	https://keralakaumudi.com/en/news/news.php?id=269725
SET_APRIL_14	38	Chehedi area	"Description
Nashik"	Maharashtra	April 11, 2020	1	Suicide, fear of infection 	IndiaTV News	April 11, 2020	https://www.indiatvnews.com/news/india/maharashtra-man-kills-self-over-coronavirus-scare-in-nashik-covid-19-606648
SET_APRIL_14	39	Law college road 	Pune	Maharashtra	April 10, 2020	1	suicide, fear of infection	TimesOfIndia	April 10, 2020	https://timesofindia.indiatimes.com/city/pune/elderly-man-found-dead-note-found-in-flat-states-corona-fear/articleshow/75073842.cms
SET_APRIL_14	40	Warje area	Pune	Maharashtra	April 10, 2020	1	suicide, tired of the pandemic	TimesOfIndia	April 12, 2020	https://timesofindia.indiatimes.com/city/pune/covid-19-stress-cop-shoots-self-4-others-commit-suicide-in-maharashtra/articleshow/75103562.cms
SET_APRIL_14	41	Dervan	Junagadh	Gujarat	April 9, 2020	1	suicide, fear of infection	Gujarat Samachar	April 10,2020	https://www.gujaratsamachar.com/news/saurashtra/home-quarantine-truck-driver-commits-suicide-near-junagadh
SET_APRIL_14	23	Maninagar	Ahmedabad	Gujarat	April 12, 2020	1	Death on road 	Twitter post of Ahmedabad mirror editor	April 12, 2020	https://twitter.com/DeepalTrevedie/status/1249270188207415297
SET_APRIL_14	24	Jeghangirabad	Badohi	Uttar Pradesh	April 12, 2020	5	Drowing in river	Hindustan Times	April 13, 2020	https://www.hindustantimes.com/india-news/up-woman-throws-five-children-into-ganga-after-fight-with-husband/story-euPyWuSQe3g5drAI2x3jPL.html
SET_APRIL_14	25	Malegaon		Maharahstra	April 11, 2020	1	Suicide	Times of India	April 12, 2020	https://timesofindia.indiatimes.com/city/pune/covid-19-stress-cop-shoots-self-4-others-commit-suicide-in-maharashtra/articleshow/75103562.cms
SET_APRIL_14	48	Bariely 	Bariely	Uttar Pradesh	March 28, 2020	1	Lockdown, long journey without medical aid	Diya Bhaskar	April 11, 2020	https://www.divyabhaskar.co.in/local/gujarat/surat/news/heart-patient-two-month-baby-death-after-reached-up-from-surat-distance-1515-km-127143687.html
SET_APRIL_14	49	Pipaliya Raj, Wankaner	Morbi	Gujarat	April 9, 2020	1	Lockdown	Gujarat Samachar	April 10, 2020	https://www.gujaratsamachar.com/news/morbi/during-the-lockdown-woman-committed-suicide
SET_APRIL_16	43	Uppal	Hyderabad	Telangana	April 13, 2020	1	Suicide, Lockdown, No Work, No Wage, Could not go home	New Indian Express	April 14, 2020	https://www.newindianexpress.com/cities/hyderabad/2020/apr/14/bihar-migrant-worker-commits-suicide-2129875.html
SET_APRIL_16	44		Delhi	Delhi	April 11, 2020	1	Death; fight over food with government staff	NDTV	April 12, 2020	https://www.ndtv.com/india-news/fire-at-shelter-home-in-delhi-s-kashmiri-bagh-many-fire-engines-on-spot-2210133
SET_APRIL_16	45	Mohammadpur Khala	Barabanki	Uttar Pradesh		1	Lockdown, Lack of care, Elderly	NEWS 18	April 12, 2020	https://www.news18.com/news/india/82-year-old-quarantined-at-home-after-returning-from-gujarat-dies-lonely-death-in-ups-barabanki-2574563.html
SET_APRIL_16	32		Puduccherry	Tamil Nadu	April 13, 2020	1	suicide, withdrawal	United news of india	April 13, 2020	http://www.uniindia.com/covid-19-lockdown-man-allegedly-commits-suicide-for-not-getting-liquor/south/news/1952738.html
SET_APRIL_16	42	Anna nagar, Poorandampalayam Village	Coimbatore	Tamil Nadu	April 12, 2020	1	suicide, fear of infection	New Indian Express	April 13, 2020	https://www.newindianexpress.com/states/tamil-nadu/2020/apr/13/gripped-by-fear-over-virus-farmer-ends-life-2129452.html
SET_APRIL_16	43		Darbhanga	Bihar 	April 13, 2020	1	suicide, quarantine	IANS, newsd	April 13, 2020	https://newsd.in/quarantined-man-commits-suicide-in-bihar-police/
SET_APRIL_16	44	Kandivali	Mumbai	Maharastra	April 14,2020	1	Suicide, extension of lockdown	Hindustan Times	April 15, 2020	https://www.hindustantimes.com/india-news/priest-kills-self-after-learning-about-lockdown-extension/story-QMOzSoH3wQD4Q4qlSm26mL.html
SET_APRIL_16	45			Madhya Pradesh	April 13,2020	1	suicide, lockdown, earlier financial crisis intensified	Twitter	April 13,2020	https://twitter.com/santoshsonu_200/status/1250090559831568384
SET_APRIL_16	46		Mumbai	Maharashtra	April 15,2020	1	suicide, covid+ patient	Indian express	April 15,2020	https://indianexpress.com/article/cities/mumbai/mumbai-coronavirus-patient-suicide-nair-hospital-6363542/
SET_APRIL_16	51	Karimnagar	Medchal	Telangana	April 13, 2020	3	Lockdown, Suicide, domestic fight	Gulfnews	April 14,2020	https://gulfnews.com/world/asia/india/coronavirus-lockdown-two-women-in-their-mid-twenties-found-hanging-in-telangana-india-1.1586871634976
SET_APRIL_16	45	Bijnor	Bijnor	Uttar Pradesh	April 13,2020	1	Suicide, Lockdown	Asianews	April 14,2020	https://newsable.asianetnews.com/uttar-pradesh/a-class-11th-student-hanged-himself-amid-lockdown-in-up-bijnor-kpt-q8s46n
SET_APRIL_17	46	Badwali Chowki	Indore	Madhya Pradesh	April 13, 2020	1	Lockdown, Denial of Ambulance	Scroll	April 15, 2020	https://scroll.in/latest/959278/coronavirus-man-dies-outside-indore-hospital-family-alleges-hospital-refused-ambulance
SET_APRIL_17	47	Gurgaon	Gurgaon	Haryana	April 12, 2020	1	Suicide, Extension of Lockdown	Amar Ujala	April 13, 2020	https://www.amarujala.com/uttar-pradesh/hardoi/lobour-suicide-due-to-lockdown-hardoi-news-knp5550749113
SET_APRIL_17	48	Kharad	Mohali	Punjab	April 14, 2020	1	Suicide, Extension of Lockdown	Amar Ujala	April 14, 2020	https://www.amarujala.com/chandigarh/65-year-old-man-commits-suicide-at-kharar-after-lockdown-extension
SET_APRIL_17	49	Maliya Hatina, Juthal	Junagadh	Gujarat	April 15, 2020	1	Suicide, Lockdown	TV9 Gujrati	April 15, 2020	https://www.youtube.com/watch?v=CLiABNic0XM
SET_APRIL_17	50	Maudarwaza Thana	Farrukhabad	Uttar Pradesh		1	Lockdown, Denial of Ambulance	Hindi, One India	April 16, 2020	https://hindi.oneindia.com/news/farrukhabad/man-died-on-his-son-shoulder-after-no-treatment-on-hospital-555684.html
SET_APRIL_17	51		Roorkee	Uttarakhand	April 16, 2020	1	Quarantined, lack of arrangements and food	Amar Ujala	April 17, 2020	https://www.amarujala.com/amp/uttar-pradesh/aligarh/aligarh-news-city-office-news-ali231520988
SET_APRIL_17	47		Gurugram	UP	April 14, 2020	1	Lockdown, Suicide, Restless	Tribune India	April 15, 2020	https://www.tribuneindia.com/news/haryana/gurugram-youth-nuh-driver-kill-themselves-amid-ongoing-lockdown-71559
SET_APRIL_17	33	Kirodi	Nuh	Haryana	April 14, 2020	1	suicide, withdrawal, lockdown, quarantine	Tribune India	April 15, 2020	https://www.tribuneindia.com/news/haryana/gurugram-youth-nuh-driver-kill-themselves-amid-ongoing-lockdown-71559
SET_APRIL_17			Gurugram	Haryana	April 17, 2020	1	Suicide, Lockdown, unable to feed family, cops denied 	Twitter, toi	April 17, 2020	https://timesofindia.indiatimes.com/city/gurgaon/haryana-30-year-old-man-commits-suicide-in-gurugram/articleshow/75205458.cms
SET_APRIL_17	33		Bhopal	MP	April 13, 2020	1	death, withdrawal	The new indian express	April 15, 2020	https://www.newindianexpress.com/nation/2020/apr/15/mp-man-dies-after-accidentally-drinking-acid-stored-in-beer-bottle-2130531.html
SET_APRIL_19	52		Varansi	Uttar Pradesh	April 18, 2020	1	exhaustion, walking	TelegraphIndia	April 18, 2020	https://www.telegraphindia.com/amp/india/coronavirus-lockdown-migrant-falls-and-dies-on-pm-modis-turf/cid/1765839?__twitter_impression=true
SET_APRIL_19	53		Ambedkar nagar	Uttar Pradesh	April 18, 2020	1	Police beating	The Hindu	April 18, 2020	https://www.thehindu.com/news/national/other-states/coronavirus-youth-dies-after-being-beaten-up-by-police-in-uttar-pradesh/article31375836.ece
SET_APRIL_19	54		Budaun	Uttar Pradesh	April 17, 2020	1	exhausation, standing in line for ration	BBC	April 18, 2020	https://www.bbc.com/hindi/india-52338267?at_custom4=8E01F2F2-817C-11EA-A80E-42A64744363C&at_campaign=64&at_custom2=twitter&at_custom1=%5Bpost+type%5D&at_medium=custom7&at_custom3=BBC+Hindi
SET_APRIL_19	55	Vashi	Navi Mumbai	Maharashtra	April 14, 2020	1	Denial of medical care	Times of India	April 19, 2020	https://timesofindia.indiatimes.com/city/mumbai/navi-mumbai-lawyer-dies-of-heart-attack-after-hospitals-refuse-admission/articleshow/75229108.cms
SET_APRIL_19	8			Uttar Pradesh	April 18, 2020	1	sexual abuse leading to suicide	jansatta	April 18, 2020	https://www.jansatta.com/crime-news-hindi/daughter-alleged-father-for-physical-harassment-committed-suicide-uttar-pradesh-agra-india-lockdown/1380608/
SET_APRIL_19	49	kasba dadri	gautambudh nagar	Uttar Pradesh	April 17, 2020	1	suicide, lack of freedom of movement	IndiaTV News	April 17, 2020	https://www.indiatv.in/india/uttar-pradesh-married-woman-commits-suicide-due-to-not-being-sent-to-her-mothers-home-in-lockdown-704009
SET_APRIL_19	50		Churu	Rajastha		1	Suicide, Fear of infection	News Track Libe	April 18, 2020	https://english.newstracklive.com/news/rajasthan-churu-a-watchman-commit-suicide-in-fear-of-corona-mc23-nu764-ta272-1085968-1.html
SET_APRIL_19	47	Patiala	Patiala	Punjab	April 16, 2020	1	Suicide, Conflicting reports of it being a consequence of police brutality	Times of India	April 17, 2020	https://timesofindia.indiatimes.com/city/ludhiana/patiala-man-commits-suicide-family-allege-police-torture/articleshow/75198187.cms
SET_APRIL_21	56	Ranighagar village	Dumka	Jharkhand	April 19, 2020	1	Waiting in line for jan dhan money	Hindustan Times	April 19, 2020	https://m.hindustantimes.com/india-news/jharkhand-woman-dies-waiting-in-a-bank-queue-to-withdraw-rs-500-from-jan-dhan-account-rural-areas-see-big-rush/story-AK17D75HOAYHXBNYu7jKoO_amp.html
SET_APRIL_21	57		Chirang	Assam	April 14, 2020	1	infant death by suffocation, travelling	Scroll	April 20, 2020	https://amp.scroll.in/latest/959709/covid-19-infant-stranded-along-with-over-30-others-in-assam-dies-while-trying-to-reach-rajasthan?_
SET_APRIL_21	58		Dehradun	Uttrakhand	April 15, 2020	1	child death, obstruction & delay in medical care	Amar Ujala	April 15, 2020	https://www.amarujala.com/dehradun/coronavirus-lockdown-uttarakhand-girl-death-in-dehradun-seal-area-bhagat-singh-colony
SET_APRIL_21	59		Bijapur	Chhatisgarh	April 18, 2020	1	exhaustion, walking	Indian Express	April 21, 2020	https://indianexpress.com/article/india/12-yr-old-walks-100-km-dies-just-short-of-bijapur-home-6371779/
SET_APRIL_21	51	Vikas Nagar	Dehradun	Uttrakhand	April 16, 2020	2	Suicide, harassment related to the Covid-19 outbreak	Telegraph	April 17, 2020	https://www.telegraphindia.com/india/hounded-over-coronavirus-couple-kill-themselves/cid/1765526
SET_APRIL_21	9		Rampur	Uttar Pradesh	April 14, 2020	1	bleach sprayed into mouth of sanitation worker	Telegraph	April 20, 2020	https://www.telegraphindia.com/india/coronavirus-lockdown-chemical-sprayed-into-mouth-worker-dies/cid/1766385
SET_APRIL_24	24		Uddhamsingh Nagar	Uttarakhand	April 21, 2020	1	suicide due loss of job 	TelegraphIndia	April 23, 2020	https://www.telegraphindia.com/india/coronavirus-lockdown-claims-jobless-gardener/cid/1767245
SET_APRIL_24	25		Patna	Bihar	April 20, 2020	1	suicide due loss of job 	Livecities.in	April 21, 2020	https://livecities.in/trending/project-manager-lost-job-due-to-lockdown-suicide-done-in-tension-in-patna/
SET_APRIL_24	26	Ambattur		Tamil Nadu	April 12, 2020	1	suicide, starvation	TopTamil News	April 13, 2020	https://www.toptamilnews.com/bihari-worker-commits-suicide-chennai-due-hunger
SET_APRIL_24	8		Jabalpur	Madhya Pradesh	April 16, 2020	1	Police beating	The New Indian Express	April 20, 2020	https://www.newindianexpress.com/nation/2020/apr/20/farmer-beaten-by-cops-amid-lockdown-dies-in-madhya-pradesh-six-officers-suspended-sp-transferred-2132889.html
SET_APRIL_24	9		Jalalpur	Uttar Pradesh	April 19, 2020	1	Police beating	The Week	April 23, 2020	https://www.theweek.in/wire-updates/national/2020/04/23/des8-up-protest-policemen.html
SET_APRIL_24	10	Sattenapalli 	Guntur	Andhra Pradesh	April 20, 2020	1	Police beating/harrasement	New Indian Express	April 20, 2002	https://www.newindianexpress.com/states/andhra-pradesh/2020/apr/20/covid-19-lockdown-tension-in-andhra-pradeshs-sattenapalli-after-man-dies-of-police-beating-2132741.html
SET_APRIL_24	21		Sultanpuri	Delhi	April 22, 2020	1	Denial of medical care and proper food	National Herald	April 22, 2020	https://www.nationalheraldindia.com/india/covid-19-diabetic-man-dies-of-lack-of-food-medicine-at-delhi-quarantine-centre
SET_APRIL_24	22		Agra 	Uttar Pradesh	April 20, 2020	1	denial of medical care	mojo; twitter	April 20, 2020	https://www.youtube.com/watch?v=OaJ-Tmp7FDY
SET_APRIL_24	10		Bahraich	Uttar Pradesh	April 22, 2020	1	mob lynching	Times of India	April 22, 2020	https://timesofindia.indiatimes.com/videos/city/lucknow/covid-19-lockdown-man-out-to-get-food-lynched-to-death-in-bahraich/videoshow/75296547.cms
SET_APRIL_24			Chennai	Tamil Nadu	April 14, 2020	1	Train accident, walking to village	Daily Thanthi. com	April 14, 2020	https://www.dailythanthi.com/News/Districts/2020/04/14041447/Wife-and-relatives-are-opposite-the-eye-The-freight.vpf
SET_APRIL_24	61		Koriya	Chhattisgarh	April 21, 2020	2	Lockdown, Accident on Train Track, Migration	Times of India	April 21, 2020	https://timesofindia.indiatimes.com/city/raipur/coronavirus-lockdown-two-workers-on-way-home-on-foot-run-over-by-freight-train-in-chhattisgarhs-koriya-district/articleshow/75271415.cms
SET_APRIL_24	52	Chinnakanal	Idukki	Kerala	April 20, 2020	1	Suicide	keralakaumudi	April 20, 2020	https://keralakaumudi.com/en/news/news.php?id=286979&u
SET_APRIL_24	53	Ranchi	Ranchi	Jharkhand	April 21, 2020	1	Suicide, fear of infection	Hindustan Live	April 21, 2020	https://www.livehindustan.com/jharkhand/story-jharkhand-news-young-man-commit-suicide-by-jumped-from-roof-of-third-floor-of-lake-view-hospital-of-ranchi-due-to-fear-of-corona-after-quarantine-in-hospital-3166709.html
SET_APRIL_24	54	Chedi	Nasik	Maharashtra		1	Suicide, fear of infection	loksatta (marathi)	April 21, 2020	https://www.loksatta.com/maharashtra-news/two-youth-commit-suicide-in-nashik-due-to-fear-of-corona-virus-and-lockdown-aau-85-2138241/
